date,home_team,away_team,home_score,away_score,round
2024-08-28,288,280,1,0,19
2024-09-11,285,356,2,1,19
2024-10-24,267,1371,1,0,19
2024-11-16,293,282,1,0,19
2024-07-27,275,287,0,2,20
2024-07-27,286,288,1,2,20
2024-07-27,265,285,1,1,20
2024-07-27,263,283,0,3,20
2024-07-27,356,276,1,0,20
2024-07-28,280,266,0,1,20
2024-07-28,262,373,2,0,20
2024-07-28,284,267,1,0,20
2024-07-28,282,264,2,1,20
2024-07-28,1371,293,1,2,20
2024-08-03,287,1371,1,0,21
2024-08-03,267,280,2,2,21
2024-08-03,373,263,1,4,21
2024-08-03,288,282,2,1,21
2024-08-03,276,262,1,0,21
2024-08-04,266,265,1,0,21
2024-08-04,264,286,1,1,21
2024-08-04,293,284,0,2,21
2024-08-04,285,275,1,1,21
2024-08-05,283,356,1,2,21
2024-08-10,356,288,1,0,22
2024-08-10,1371,284,1,3,22
2024-08-10,283,282,0,0,22
2024-08-10,267,266,2,0,22
2024-08-10,264,280,1,1,22
2024-08-11,286,263,3,2,22
2024-08-11,265,287,2,0,22
2024-08-11,262,275,1,1,22
2024-08-11,276,373,1,0,22
2024-08-11,285,293,2,2,22
2024-08-17,284,265,0,2,23
2024-08-17,282,1371,1,1,23
2024-08-17,280,356,1,2,23
2024-08-17,266,264,0,0,23
2024-08-18,275,276,2,1,23
2024-08-18,373,285,1,0,23
2024-08-18,288,267,2,2,23
2024-08-18,263,262,4,1,23
2024-08-18,293,286,1,2,23
2024-08-19,287,283,2,2,23
2024-08-24,373,286,2,1,24
2024-08-24,275,1371,5,0,24
2024-08-24,282,266,0,2,24
2024-08-25,265,263,0,0,24
2024-08-25,356,264,1,0,24
2024-08-25,288,284,0,1,24
2024-08-25,276,287,2,1,24
2024-08-25,285,283,1,0,24
2024-08-25,262,280,2,1,24
2024-08-26,267,293,2,1,24
2024-08-31,1371,288,2,1,25
2024-08-31,263,356,2,0,25
2024-09-01,284,282,2,3,25
2024-09-01,283,373,3,1,25
2024-09-01,264,262,2,1,25
2024-09-01,287,267,0,1,25
2024-09-01,266,276,2,0,25
2024-09-01,280,265,2,1,25
2024-09-01,293,275,0,2,25
2024-09-01,286,285,1,3,25
2024-09-14,373,287,0,2,26
2024-09-14,293,356,1,1,26
2024-09-14,263,264,2,1,26
2024-09-15,275,288,5,0,26
2024-09-15,280,284,2,2,26
2024-09-15,286,266,2,1,26
2024-09-15,283,276,0,1,26
2024-09-15,265,282,3,0,26
2024-09-15,262,267,1,1,26
2024-09-16,285,1371,3,0,26
2024-09-21,287,286,1,0,27
2024-09-21,264,373,3,0,27
2024-09-21,266,263,0,1,27
2024-09-21,356,265,4,1,27
2024-09-22,282,280,3,0,27
2024-09-22,267,275,0,1,27
2024-09-22,284,262,3,2,27
2024-09-22,276,285,1,3,27
2024-09-22,1371,283,0,0,27
2024-09-22,288,293,0,0,27
2024-09-28,275,282,2,1,28
2024-09-28,263,284,0,0,28
2024-09-29,286,280,1,1,28
2024-09-29,276,264,3,1,28
2024-09-29,356,1371,1,0,28
2024-09-29,373,266,1,0,28
2024-09-29,285,287,3,1,28
2024-09-29,283,267,1,1,28
2024-09-29,265,288,1,0,28
2024-09-29,262,293,1,0,28
2024-10-03,288,373,2,0,29
2024-10-03,266,283,1,0,29
2024-10-04,284,356,3,1,29
